tweet_id	date	time	lang	country_code
315140365503156225	2020-10-15	04:01:11	fr	NULL
1315140365536514048	2020-10-15	04:01:11	hi	NULL
1315140366211915778	2020-10-15	04:01:12	es	NULL
1315140368359358465	2020-10-15	04:01:12	und	NULL
1315140369416364032	2020-10-15	04:01:12	en	NULL
1315140370792157184	2020-10-15	04:01:13	en	NULL
1315140371823751168	2020-10-15	04:01:13	en	NULL
1315140372268539906	2020-10-15	04:01:13	es	NULL
1315140373023387648	2020-10-15	04:01:13	en	NULL
1315140373103091713	2020-10-15	04:01:13	en	NULL
1315140373753151488	2020-10-15	04:01:13	en	NULL
1315140374831095808	2020-10-15	04:01:14	en	NULL
1315140375728672770	2020-10-15	04:01:14	en	NULL
1315140376668237827	2020-10-15	04:01:14	en	NULL
1315140377108774914	2020-10-15	04:01:14	en	NULL
1315140378010488833	2020-10-15	04:01:14	es	NULL
1315140378530508800	2020-10-15	04:01:15	en	NULL
1315140380539711490	2020-10-15	04:01:15	en	NULL
1315140382120910849	2020-10-15	04:01:15	und	NULL
1315140385945993216	2020-10-15	04:01:16	en	NULL
1315140389645451264	2020-10-15	04:01:17	en	NULL
1315140390580707328	2020-10-15	04:01:17	en	NULL
1315140391545368576	2020-10-15	04:01:18	en	NULL
1315140395999866880	2020-10-15	04:01:19	en	NULL
1315140396331216896	2020-10-15	04:01:19	en	NULL
1315140398860431361	2020-10-15	04:01:19	es	NULL
1315140399531536387	2020-10-15	04:01:20	en	NULL
1315140400349425664	2020-10-15	04:01:20	und	NULL
1315140400785440769	2020-10-15	04:01:20	en	NULL
1315140405042741248	2020-10-15	04:01:21	in	NULL
1315140405802008577	2020-10-15	04:01:21	in	NULL
1315140406816968704	2020-10-15	04:01:21	es	NULL
1315140410046545921	2020-10-15	04:01:22	en	NULL
1315140410205966341	2020-10-15	04:01:22	en	NULL
1315140413846585344	2020-10-15	04:01:23	es	NULL
1315140414794608640	2020-10-15	04:01:23	en	NULL
1315140416568655872	2020-10-15	04:01:24	en	NULL
1315140417805934592	2020-10-15	04:01:24	en	NULL
1315140418665885698	2020-10-15	04:01:24	en	NULL
1315140419886485507	2020-10-15	04:01:24	und	NULL
1315140420008054786	2020-10-15	04:01:24	en	NULL
1315140421769523203	2020-10-15	04:01:25	en	NULL
1315140421991964672	2020-10-15	04:01:25	en	NULL
1315140424990961664	2020-10-15	04:01:26	en	NULL
1315140425141964800	2020-10-15	04:01:26	en	NULL
1315140427897593856	2020-10-15	04:01:26	en	NULL
1315140430250438657	2020-10-15	04:01:27	en	NULL
1315140430711980032	2020-10-15	04:01:27	en	NULL
1315140431584223234	2020-10-15	04:01:27	en	NULL
1315140432100163584	2020-10-15	04:01:27	en	NULL
1315140432918085633	2020-10-15	04:01:27	es	NULL
1315140433555542016	2020-10-15	04:01:28	en	NULL
1315140434407182339	2020-10-15	04:01:28	en	NULL
1315140434767818752	2020-10-15	04:01:28	und	NULL
1315140436839800833	2020-10-15	04:01:28	en	NULL
1315140437754093568	2020-10-15	04:01:29	in	NULL
1315140443076665346	2020-10-15	04:01:30	en	NULL
1315140444628619264	2020-10-15	04:01:30	en	NULL
1315140444897054722	2020-10-15	04:01:30	und	NULL
1315140445836660736	2020-10-15	04:01:31	es	NULL
1315140448441204736	2020-10-15	04:01:31	en	NULL
1315140448835563525	2020-10-15	04:01:31	en	NULL
1315140448848052224	2020-10-15	04:01:31	en	NULL
1315140449636618241	2020-10-15	04:01:31	en	NULL
1315140452329324544	2020-10-15	04:01:32	en	NULL
1315140453352779776	2020-10-15	04:01:32	lt	NULL
1315140454329978882	2020-10-15	04:01:33	en	NULL
1315140454728441856	2020-10-15	04:01:33	in	NULL
1315140456674664448	2020-10-15	04:01:33	en	NULL
1315140456800542720	2020-10-15	04:01:33	en	NULL
1315140457308057601	2020-10-15	04:01:33	en	NULL
1315140462957731840	2020-10-15	04:01:35	en	NULL
1315140465671303169	2020-10-15	04:01:35	und	NULL
1315140467223269376	2020-10-15	04:01:36	en	NULL
1315140468284375041	2020-10-15	04:01:36	en	NULL
1315140468557176832	2020-10-15	04:01:36	es	NULL
1315140470977245184	2020-10-15	04:01:37	und	NULL
1315140471824560134	2020-10-15	04:01:37	und	NULL
1315140475330924544	2020-10-15	04:01:38	en	NULL
1315140479978213381	2020-10-15	04:01:39	en	NULL
1315140481492238336	2020-10-15	04:01:39	en	NULL
1315140481559539713	2020-10-15	04:01:39	und	NULL
1315140484470321152	2020-10-15	04:01:40	es	NULL
1315140484642209796	2020-10-15	04:01:40	en	NULL
1315140486093565952	2020-10-15	04:01:40	en	NULL
1315140487116980225	2020-10-15	04:01:40	es	NULL
1315140487779672064	2020-10-15	04:01:41	en	NULL
1315140487897112579	2020-10-15	04:01:41	en	NULL
1315140488383528962	2020-10-15	04:01:41	in	NULL
1315140490854043649	2020-10-15	04:01:41	de	NULL
1315140490896039936	2020-10-15	04:01:41	de	NULL
1315140492250755074	2020-10-15	04:01:42	es	NULL
1315140495178424322	2020-10-15	04:01:42	en	NULL
1315140498231889921	2020-10-15	04:01:43	en	NULL
1315140498672287745	2020-10-15	04:01:43	pt	NULL
1315140499498504192	2020-10-15	04:01:43	it	NULL
1315140499766824960	2020-10-15	04:01:43	en	NULL
1315140500916064256	2020-10-15	04:01:44	und	NULL
1315140501444624384	2020-10-15	04:01:44	en	NULL
